Arquivo,Gabarito,Predicao_Raw,Predicao_Fuzzy,Levenshtein_Raw,Levenshtein_Fuzzy,Similaridade_Raw,Similaridade_Fuzzy,CER_Raw,CER_Fuzzy,WER_Raw,WER_Fuzzy,Accuracy_Raw,Accuracy80_Raw,Accuracy_Fuzzy,Accuracy80_Fuzzy,Tempo_Inferencia
P0266.jpg,monfast,man past,monfast,3,0,0.6666666666666667,1.0,0.42857142857142855,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.10376787185668945
P0102.jpg,rosu,rosa,rosuva,1,2,0.75,0.8,0.25,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.08393073081970215
P1046.jpg,nameton,namefon,namefon,1,1,0.8571428571428572,0.8571428571428572,0.14285714285714285,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.07421469688415527
P0793.jpg,epitra,maxim mups,exium mups,9,8,0.125,0.25,1.5,1.3333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.11113190650939941
P0903.jpg,ac pr,aur,nabu,3,5,0.5,0.2222222222222222,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07275080680847168
P0468.jpg,coralcal,con 3/2 d,halconl dx,7,8,0.23529411764705888,0.4444444444444444,0.875,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.14320707321166992
P0782.jpg,lecor,lecos,lecor,1,0,0.8,1.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.07257580757141113
P0307.jpg,spilac,spilac,spilac,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09009957313537598
P0129.jpg,montelon,maniklon,ansilou,3,5,0.625,0.4,0.375,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0903007984161377
P0333.jpg,rodiflex,radiflex,radiflex,1,1,0.875,0.875,0.125,0.125,1.0,1.0,0.0,1.0,0.0,1.0,0.09383201599121094
P1088.jpg,folive,folive,folive,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07240629196166992
P0089.jpg,myolax,myolax,myolax,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09163284301757812
P0951.jpg,fenix,fenix,fenix,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.08025169372558594
P0478.jpg,gavinaaf,gavinaaf,gavinaaf,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1190638542175293
P0594.jpg,novotril,novomil,novonil,2,2,0.8,0.8,0.25,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.09257650375366211
P0973.jpg,nystat,nysht,nystat,2,0,0.7272727272727273,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.09010124206542969
P1041.jpg,prolix,probi,probio,2,2,0.7272727272727273,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0834035873413086
P0045.jpg,???,doxycar,doxycap,7,7,0.0,0.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.0,0.0,0.0,0.0,0.10896158218383789
P0275.jpg,dexter,dextal,dextal,2,2,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.09837937355041504
P0276.jpg,emprelina,empalina,emprelina,2,0,0.8235294117647058,1.0,0.2222222222222222,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.09693217277526855
P0110.jpg,emep,emep,emep,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0758066177368164
P0114.jpg,klobid,klabid,klabid,1,1,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,0.09072279930114746
P0831.jpg,epitra,epi' loca,arsiloca,5,6,0.5333333333333333,0.2857142857142857,0.8333333333333334,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.12995338439941406
P0057.jpg,rupin,sulbixin,ansulin,5,4,0.46153846153846156,0.5,1.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.10837912559509277
P0546.jpg,esonix,f58 mix,fimix,5,4,0.3076923076923077,0.36363636363636365,0.8333333333333334,0.6666666666666666,2.0,1.0,0.0,0.0,0.0,0.0,0.10828018188476562
P0783.jpg,a-fun,a-fun,a-fun,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09517240524291992
P1067.jpg,zithrox,zithromax,zithrox,2,0,0.875,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.10880136489868164
P0825.jpg,neuro,neuro,neuro,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07372689247131348
P0895.jpg,folzin,folacin,folzin,2,0,0.7692307692307692,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.09588003158569336
P0290.jpg,voltalin,voffalix,alix,3,5,0.625,0.5,0.375,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.10999250411987305
P0382.jpg,fylox,fylox,fylox,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09541869163513184
P0595.jpg,voltalin,volta lin,voltalin,1,0,0.9411764705882353,1.0,0.125,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.09953188896179199
P0293.jpg,xinc b,xineb,xinc b,2,0,0.7272727272727273,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0977475643157959
P0897.jpg,algin,aigin,algin,1,0,0.8,1.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.09708213806152344
P0602.jpg,escilex,esg1205,fexo 120,5,7,0.2857142857142857,0.2666666666666667,0.7142857142857143,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.15434050559997559
P0087.jpg,etorix,etorix,etorix,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09686112403869629
P0936.jpg,folzin,f-01270,fexo 120,6,6,0.15384615384615385,0.2857142857142857,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.1740412712097168
